file,H,W,B,dtype,min,max,NaN,Inf,neg,gt1,wl_min,wl_max,rgb_bands
abachi_block0_wl.npz,469,96,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
abachi_block1_wl.npz,487,102,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
abachi_block2_wl.npz,487,108,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
afromasia_block0_wl.npz,460,102,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
afromasia_block1_wl.npz,460,99,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
ipe_block0_wl.npz,475,110,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
ipe_block1_wl.npz,484,98,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
ipe_block2_wl.npz,468,94,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
iroko_block0_wl.npz,460,96,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
iroko_block1_wl.npz,263,96,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
iroko_block2_wl.npz,273,98,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
merbau_block0_wl.npz,461,93,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
merbau_block1_wl.npz,482,96,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
merbau_block2_wl.npz,460,94,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
ovangol_block0_wl.npz,459,93,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
ovangol_block1_wl.npz,484,92,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
ovangol_block2_wl.npz,460,96,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
padauk_block0_wl.npz,461,96,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
padauk_block1_wl.npz,480,94,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
padauk_block2_wl.npz,461,95,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
sapelimahonki_block0_wl.npz,460,88,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
sapelimahonki_block1_wl.npz,485,90,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
sapelimahonki_block2_wl.npz,462,98,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
tiiki_block0_wl.npz,488,108,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
tiiki_block1_wl.npz,488,108,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
tiiki_block2_wl.npz,488,104,256,float32,0.0000,1.0000,0,0,0,0,933.49,2538.24,"113,42,10"
